time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-07-21 00:00:00+00:00,1,1,,
2024-07-22 00:00:00+00:00,1,1,,
2024-07-23 00:00:00+00:00,4,2,5.0,1.0
2024-07-24 00:00:00+00:00,6,2,16.0,2.0
2024-07-25 00:00:00+00:00,3,2,39.0,2.0
2024-07-26 00:00:00+00:00,1,1,,
2024-07-27 00:00:00+00:00,1,1,,
2024-07-28 00:00:00+00:00,1,1,,
2024-07-29 00:00:00+00:00,5,3,,
2024-07-30 00:00:00+00:00,2,2,,
2024-07-31 00:00:00+00:00,11,5,43.0,2.0
2024-08-01 00:00:00+00:00,6,2,27.0,2.0
2024-08-02 00:00:00+00:00,9,6,14.0,2.0
2024-08-03 00:00:00+00:00,1,1,,
