time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-06-11 00:00:00+00:00,10,6,4,3
2024-06-12 00:00:00+00:00,21,17,30,2
2024-06-13 00:00:00+00:00,4,4,1,1
2024-06-15 00:00:00+00:00,2,1,0,0
2024-06-17 00:00:00+00:00,3,3,3,1
2024-06-18 00:00:00+00:00,11,10,7,1
2024-06-19 00:00:00+00:00,6,3,15,2
2024-06-20 00:00:00+00:00,5,5,9,1
2024-06-21 00:00:00+00:00,13,8,20,2
2024-06-22 00:00:00+00:00,4,2,0,0
2024-06-23 00:00:00+00:00,3,3,0,0
2024-06-24 00:00:00+00:00,1,1,0,0
2024-06-25 00:00:00+00:00,5,2,8,2
2024-06-26 00:00:00+00:00,3,2,0,0
2024-06-27 00:00:00+00:00,3,2,0,0
2024-06-28 00:00:00+00:00,3,2,0,0
2024-06-29 00:00:00+00:00,1,1,0,0
